ICAO;RWY;TORA;TODA;ASDA;LDA;ELEV;SLOPE
00CA;04;1770;1770;1770;1770;3038;0.06
00CA;22;1770;1770;1770;1770;3038;-0.06
00C;01;1528;1528;1528;1528;6684;0.00
00C;19;1528;1528;1528;1528;6684;-0.00
00F;10;1342;1342;1342;1342;3282;0.00
00F;28;1342;1342;1342;1342;3282;-0.00
00R;12;1128;1128;1128;1128;150;0.00
00R;12_N;1004;1004;1004;1004;150;0.00
00R;30;1128;1128;1128;1128;150;-0.00
01MT;13;1609;1609;1609;1609;3141;0.00
01MT;31;1609;1609;1609;1609;3141;-0.00
01M;17;1227;1227;1227;1227;578;0.00
01M;35;1227;1227;1227;1227;578;-0.00
02A;08;1218;1218;1218;1218;584;0.00
02A;26;1218;1218;1218;1218;584;-0.00
03CO;13;1209;1209;1209;1209;4950;0.00
03CO;31;1209;1209;1209;1209;4950;-0.00
04A;04;1418;1418;1418;1418;299;0.00
04A;22;1418;1418;1418;1418;299;-0.00
04CA;08;2349;2349;2349;2349;3020;0.00
04CA;08_N;1177;1177;1177;1177;3020;0.00
04CA;26;2349;2349;2349;2349;3020;-0.00
04CA;26_N;1173;1173;1173;1173;3020;-0.00
05C;08;1489;1489;1489;1489;633;0.00
05C;26;1489;1489;1489;1489;633;-0.00
05U;18;2219;2219;2219;2219;5954;0.00
05U;36;2219;2219;2219;2219;5954;-0.00
06A;13;1524;1524;1524;1524;264;0.00
06A;31;1524;1524;1524;1524;264;-0.00
06C;11;1159;1159;1159;1159;799;0.00
06C;29;1159;1159;1159;1159;799;-0.00
06D;14;1310;1310;1310;1310;1820;0.00
06D;32;1310;1310;1310;1310;1820;-0.00
06FA;09;2130;2130;2130;2130;25;0.00
06FA;27;2130;2130;2130;2130;25;-0.00
06FA;27_A;1865;1865;1865;1865;25;-0.00
06FA;27_B;2056;2056;2056;2056;25;-0.00
06U;15;1885;1885;1885;1885;5212;0.00
06U;33;1885;1885;1885;1885;5212;-0.00
07A;14;1117;1117;1117;1117;299;0.00
07A;32;1117;1117;1117;1117;299;-0.00
07FA;05;1358;1358;1358;1358;4;0.00
07FA;23;1358;1358;1358;1358;4;-0.00
07K;16;1128;1128;1128;1128;1712;0.00
07K;34;1128;1128;1128;1128;1712;-0.00
07MT;10;3649;3649;3649;3649;2762;0.00
07MT;28;3649;3649;3649;3649;2762;-0.00
07TE;04;1540;1540;1540;1540;39;0.00
07TE;09;1531;1531;1531;1531;39;0.00
07TE;13;1516;1516;1516;1516;39;0.00
07TE;18;1513;1513;1513;1513;39;0.00
07TE;22;1540;1540;1540;1540;39;-0.00
07TE;27;1531;1531;1531;1531;39;-0.00
07TE;31;1516;1516;1516;1516;39;-0.00
07TE;36;1513;1513;1513;1513;39;-0.00
07V;06;1768;1768;1768;1768;7151;0.00
07V;24;1768;1768;1768;1768;7151;-0.00
08C;14;1182;1182;1182;1182;603;0.00
08C;32;1182;1182;1182;1182;603;-0.00
08D;09;1189;1189;1189;1189;2245;0.00
08D;27;1189;1189;1189;1189;2245;-0.00
08K;17;1134;1134;1134;1134;1814;0.00
08K;35;1134;1134;1134;1134;1814;-0.00
08MS;07;1133;1133;1133;1133;345;0.00
08MS;25;1133;1133;1133;1133;345;-0.00
09A;12;1242;1242;1242;1242;132;0.00
09A;30;1242;1242;1242;1242;132;-0.00
09FA;18;1468;1468;1468;1468;129;0.00
09FA;36;1468;1468;1468;1468;129;-0.00
09J;18;1133;1133;1133;1133;11;0.00
09J;36;1133;1133;1133;1133;11;-0.00
09R;16;1223;1223;1223;1223;388;0.00
09R;34;1223;1223;1223;1223;388;-0.00
09TS;09;1245;1245;1245;1245;3100;0.00
09TS;27;1245;1245;1245;1245;3100;-0.00
0A2;10;1182;1182;1182;1182;517;0.00
0A2;28;1182;1182;1182;1182;517;-0.00
0A3;06;1297;1297;1297;1297;1084;0.00
0A3;24;1297;1297;1297;1297;1084;-0.00
0A8;10;1279;1279;1279;1279;250;0.00
0A8;28;1279;1279;1279;1279;250;-0.00
0A9;06;1379;1379;1379;1379;1590;0.00
0A9;24;1379;1379;1379;1379;1590;-0.00
0B1;14;1163;1163;1163;1163;673;0.00
0B1;32;1163;1163;1163;1163;673;-0.00
0B4;13;1202;1202;1202;1202;1388;0.00
0B4;31;1202;1202;1202;1202;1388;-0.00
